Source Table,Problem,DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,simple_solve,reuse_points,initial_solution,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N),budget,backorder_cost,demand_mean,warmup,variable_cost,fixed_cost,lead_mean,holding_cost,n_days,arc_costs,arcs,num_nodes
df_solver_results_new_sscont.jmp,SSCONT,8,True,0.3,0.7,2,0.5,4,True,True,"(600, 600)",2,0.1625979313,0.2632099558,0.864,1,0.464,1,0.084,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,8,True,0.3,0.7,2,0.5,4,True,True,"(600, 600)",3,0.3464429724,0.4405455974,0.148,1,0.148,1,0.148,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,8,True,0.3,0.7,2,0.5,4,True,True,"(600, 600)",4,0.0021714264,0.2531485979,0.108,1,0.108,1,0.056,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,8,True,0.3,0.7,2,0.5,4,True,True,"(600, 600)",5,-0.03090139,0.4005483919,0.2,1,0.2,1,0.056,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,8,True,0.3,0.7,2,0.5,4,True,True,"(600, 600)",6,0.113256672,0.186581713,.,0,.,0,0.156,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,8,True,0.3,0.7,2,0.5,4,True,True,"(600, 600)",7,0.0511810227,0.2306768459,0.172,1,0.172,1,0.172,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,8,True,0.3,0.7,2,0.5,4,True,True,"(600, 600)",8,0.2677421096,0.3683652722,.,0,.,0,0.108,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,8,True,0.3,0.7,2,0.5,4,True,True,"(600, 600)",9,0.5936227416,0.4158585586,0.352,1,0.072,1,0.056,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,9,True,0.175,0.75,2.375,0.1,4,True,True,"(600, 600)",0,0.0836288388,0.3167522588,.,0,0.326,1,0.056,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,9,True,0.175,0.75,2.375,0.1,4,True,True,"(600, 600)",1,0.6494521535,0.6849370669,0.384,1,0.268,1,0.056,1,0.04,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,9,True,0.175,0.75,2.375,0.1,4,True,True,"(600, 600)",2,0.0931652464,0.228784995,.,0,0.294,1,0.056,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,9,True,0.175,0.75,2.375,0.1,4,True,True,"(600, 600)",3,0.2151624434,0.5019339873,.,0,.,0,0.056,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,9,True,0.175,0.75,2.375,0.1,4,True,True,"(600, 600)",4,0.2404576478,0.3009168498,.,0,.,0,0.056,1,0.04,1,1000,4,100,20,2,36,6,1,100,,,
